index,Tourist Spots,City,State,Label,Religious Sentiment,Bustle,Weather,Food Costs,Distance From Airport(KM)
0,Ujjayanta Palace,Agartala,Tripura,Palace,n,n,All,980,10.3
1,Agra Fort,Agra,Uttar Pradesh,Palace,n,n,All,"1,030",0
2,Fatehpur Sikri,Agra,Uttar Pradesh,Heritage,n,n,All,"1,030",0
3,Jahangiri Mahal,Agra,Uttar Pradesh,Palace,n,n,All,"1,030",0
4,Historic City of Ahmedabad,Ahmedabad,Gujrat,Heritage,n,n,All,1045,0
5,Farah Bagh Palace,Ahmednagar,Maharashtra,Palace,n,n,All,1000,113
6,Ajanta Caves,Ajanta,Maharahtra,Heritage,n,n,All,1000,47.4
7,Dargah Gharib Nawaz,Ajmer,Rajasthan,Spiritual,y,n,All,800,47.4
8,Khwaja Moinuddin Chishti Dargah,Ajmer,Rajasthan,Spiritual,y,n,All,800,26.4
9,Golden Temple,Amritsar,Punjab,Spiritual,y,n,All,800,26.4
10,Amarnath Cave,Anantnag,Jammu & Kashmir,Caves,y,n,Winter,800,15.6
11,Ellora Caves,Aurangabad,Maharshtra,Caves,n,n,All,800,0
12,Naukhanda Palace,Aurangabad,Maharashtra,Palace,n,n,All,800,0
13,Shree Badrinath Temple,Badrinath,Uttarakhand,Spiritual,y,n,Winter,800,0
14,Group of Monuments at Pattadakal,Bagalkot,Karnataka,Heritage,n,n,All,950,1.3
15,Bastar Palace,Bastar District,Chhattisgarh,Palace,n,n,All,800,10.8
16,Keoladeo National Park,Bharatpur,Rajasthan,Heritage,n,y,All,950,54.8
17,Udai Vilas Palace,Bharatpur,Rajasthan,Palace,n,n,All,950,54.8
18,Rock Shelters of Bhimbetka,Bhimbetka,Madhya Pradesh,Heritage,n,n,All,900,560.3
19,Junagarh Fort,Bikaner,Rajasthan,Palace,n,n,All,950,37.2
20,Lalgarh Palace,Bikaner,Rajasthan,Palace,n,n,All,950,37.2
21,Mahabodhi Temple Complex,Bodh Gaya,Bihar,Heritage,n,n,All,800,10.3
22,Bolgatty Palace,"Bolgatty Island, Kochi",Kerala,Palace,n,y,All,850,0
23,Hemkund Sahib,Chamoli,Uttarakhand,Spiritual,y,n,All,850,93.5
24,The Architectural Work of Le Corbusier,Chandigarh,Chandigarh,Heritage,n,n,All,850,0
25,Khajuraho Group of Monuments,Chhatarpur,Madhya Pradesh,Heritage,n,n,All,850,34.08
26,Manas Wildlife Sanctuary,Chirang and Bakasa District,Assam,Wildlife,n,y,All,850,67.1
27,Khangchendzonga National Park,Chungthang,Sikkim,Heritage,n,y,All,850,67
28,Kunjaban Palace,Agartala,Tripura,Palace,n,n,All,850,10.3
29,"Cooch Behar Palace
(Victor Jubilee Palace)",Cooch Behar,West Bengal,Palace,n,y,All,850,0
30,Meghna Cave Temple,Daporijo,Arunachal Pradesh,Spiritual,y,,All,850,0
31,Great Chola Temple - Airavateshwarar Temple,Darasuram,Tamil Nadu,Heritage,n,n,All,900,98
32,Anand Bagh Palace,Darbhanga,Bihar,Palace,n,n,All,800,0
33,Nargona Palace,Darbhanga,Bihar,Palace,n,n,All,800,0
34,Mountain railways of India - Darjeeling Himalayan Railways,Darjeeling,West Bengal,Heritage,n,n,All,850,95
35,Daulatabad Fort,Daulatabad near Aurangabad,Maharashtra,Palace,n,n,All,850,0
36,Humayun's Tomb,Delhi,Delhi,Heritage,n,n,All,1100,0
37,Qutb Minar,Delhi,Delhi,Heritage,n,n,All,1100,0
38,Karni Mata Temple,Deshnok,Rajasthan,Spiritual,y,n,All,1100,42.4
39,Shree Dwarkadhish Temple,Dwarka,Gujrat,Spiritual,y,n,All,1100,95
40,Ahom Rajaa'ss Palace,Gargaon near Sivasagar,Assam,Palace,n,n,All,1100,64.1
41,Churches and Convents of Goa,Goa,Goa,Heritage,y,n,All,1100,0
42,Gwalior Fort,Gwalior,Madhya Pradesh,Palace,n,n,All,1000,0
43,Jai Vilas Palace,Gwalior,Madhya Pradesh,Palace,n,n,All,1000,0
